Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Gonzaga,WCC,,1,26,0,92.1,69.1,23.00,,3.43,,23.31,3.12,26.43,125.55,89.55,36.01
2,Illinois,Big Ten,,3,23,6,81.4,69.2,12.17,,12.67,,16.21,8.63,24.84,120.64,85.97,34.68
3,Michigan,Big Ten,,4,20,4,76.3,65.4,10.88,,12.50,,11.19,12.18,23.37,120.64,86.59,34.05
4,Baylor,Big 12,,2,22,2,84.4,66.4,17.96,,5.36,,15.85,7.47,23.32,123.92,91.00,32.92
5,Iowa,Big Ten,,5,21,8,83.8,71.9,11.83,,11.38,,18.69,4.52,23.21,126.29,93.39,32.90
6,Houston,AAC,,7,24,3,77.6,57.9,19.78,,4.14,,8.74,13.41,22.14,120.09,86.62,33.47
7,Alabama,SEC,,6,24,6,79.6,69.8,9.80,,10.36,,13.16,7.00,20.16,112.67,84.58,28.10
8,Ohio State,Big Ten,,9,21,9,77.3,71.0,6.37,,13.58,,13.24,6.71,19.95,122.61,93.79,28.82
9,Colgate,Patriot,,,14,1,86.3,68.6,17.73,,1.43,,16.59,2.57,19.16,119.08,93.66,25.42
10,Villanova,Big East,,14,16,6,75.5,67.1,8.41,,9.67,,8.85,9.23,18.08,120.02,93.41,26.61
11,Arkansas,SEC,,8,22,6,82.4,70.7,11.71,,6.34,,13.25,4.81,18.06,113.39,88.45,24.94
12,Tennessee,SEC,,,18,8,72.5,63.2,9.27,,8.79,,5.19,12.87,18.06,111.42,85.10,26.32
13,Florida State,ACC,,15,16,6,78.9,70.3,8.59,,9.39,,13.40,4.58,17.98,117.65,91.26,26.39
14,Wisconsin,Big Ten,,,17,12,69.6,64.3,5.31,,12.51,,4.50,13.33,17.82,113.09,86.79,26.30
15,Creighton,Big East,,17,20,8,77.0,68.3,8.68,,8.91,,11.35,6.24,17.59,116.16,91.20,24.96
16,Purdue,Big Ten,,20,18,9,71.1,66.3,4.81,,12.47,,6.62,10.67,17.29,115.35,89.74,25.61
17,Southern California,Pac-12,,24,22,7,74.8,65.1,9.66,,7.61,,8.00,9.26,17.27,113.97,88.86,25.11
18,Connecticut,Big East,,,15,7,72.5,64.6,7.91,,9.22,,6.71,10.42,17.13,114.36,89.70,24.66
19,Colorado,Pac-12,,23,22,8,73.0,63.3,9.77,,6.99,,6.49,10.27,16.76,115.56,90.72,24.84
20,Virginia,ACC,,16,18,6,68.6,60.5,8.17,,8.49,,1.01,15.65,16.66,118.28,91.96,26.32
21,Kansas,Big 12,,11,20,8,73.1,65.8,7.36,,10.26,,6.11,10.49,16.60,111.98,87.66,24.31
22,Texas Tech,Big 12,,20,17,10,73.0,63.4,9.63,,6.91,,5.24,11.30,16.54,112.84,88.51,24.33
23,North Carolina,ACC,,,18,10,75.7,69.4,6.29,,10.01,,9.57,6.72,16.30,111.02,87.64,23.38
24,Texas,Big 12,,13,19,7,75.2,68.8,6.42,,9.81,,9.85,6.38,16.24,114.55,91.16,23.39
25,West Virginia,Big 12,,10,18,9,77.3,72.1,5.19,,10.67,,11.86,4.00,15.86,116.27,93.29,22.98
26,Louisiana State,SEC,,,18,9,82.1,75.3,6.78,,8.88,,15.21,0.45,15.66,120.97,98.25,22.72
27,Maryland,Big Ten,,,16,13,68.8,65.0,3.83,,12.86,,4.29,11.04,15.33,114.06,91.31,22.75
